row_index,rank,feature,feature_value,shap_value,plain_explanation
11209,1,combined_risk,2.628966032,2.5224905,Multiple risk signals increased at the same time
11209,2,total_activity,202,2.453262328,Overall system activity was unusually high
11209,3,file_activity,53,0.467172523,File-related activity was unusually high
8833,1,combined_risk,2.622993654,2.753454004,Multiple risk signals increased at the same time
8833,2,total_activity,176,1.601236735,Overall system activity was unusually high
8833,3,behavioral_risk_3week_avg,4.666666667,0.424243125,Suspicious behavior stayed elevated over several weeks
16005,1,combined_risk,3.066442703,4.010048209,Multiple risk signals increased at the same time
16005,2,http_weekly_active_days,5.504626106,1.754182611,Web activity occurred across many days
16005,3,behavioral_risk_3week_avg,6,0.40005579,Suspicious behavior stayed elevated over several weeks
23261,1,combined_risk,2.612915267,3.190827574,Multiple risk signals increased at the same time
23261,2,total_activity,180,1.916982075,Overall system activity was unusually high
23261,3,device_weekly_avg_device_connections_per_day,4.451948756,0.724934628,Daily external device usage was unusually high
24653,1,combined_risk,3.177118328,3.019215772,Multiple risk signals increased at the same time
24653,2,total_activity,300,2.590785669,Overall system activity was unusually high
24653,3,file_activity,141,1.094517094,File-related activity was unusually high
4802,1,combined_risk,3.119447555,3.078622971,Multiple risk signals increased at the same time
4802,2,total_activity,213,1.792200953,Overall system activity was unusually high
4802,3,file_activity,122,1.078700331,File-related activity was unusually high
3614,1,combined_risk,3.109929078,2.914528414,Multiple risk signals increased at the same time
3614,2,total_activity,196,1.788417551,Overall system activity was unusually high
3614,3,file_activity,101,1.090825577,File-related activity was unusually high
4631,1,combined_risk,3.101530422,4.393768664,Multiple risk signals increased at the same time
4631,2,http_weekly_active_days,5.504626106,2.003479053,Web activity occurred across many days
4631,3,total_activity,137,0.484039654,Overall system activity was unusually high
21490,1,combined_risk,3.145390071,3.078622971,Multiple risk signals increased at the same time
21490,2,total_activity,246,2.230487127,Overall system activity was unusually high
21490,3,file_activity,117,1.078235722,File-related activity was unusually high
3834,1,combined_risk,4.083240015,2.250404813,Multiple risk signals increased at the same time
3834,2,behavioral_risk_3week_avg,7.333333333,1.492931305,Suspicious behavior stayed elevated over several weeks
3834,3,device_weekly_distinct_pcs_used,12.66286696,1.088315148,External devices were used on multiple computers
1544,1,combined_risk,3.155281822,3.238358046,Multiple risk signals increased at the same time
1544,2,total_activity,229,3.12355457,Overall system activity was unusually high
1544,3,email_weekly_emails_with_attachments,5.216200051,0.28480532,Many emails included attachments
30569,1,combined_risk,3.160134378,3.150116783,Multiple risk signals increased at the same time
30569,2,total_activity,237,3.014497298,Overall system activity was unusually high
30569,3,email_weekly_emails_with_attachments,3.660424565,0.289983604,Many emails included attachments
30484,1,total_activity,418,3.291187341,Overall system activity was unusually high
30484,2,combined_risk,3.766517357,3.255788063,Multiple risk signals increased at the same time
30484,3,device_weekly_avg_device_connections_per_day,4.561392799,0.939270701,Daily external device usage was unusually high
35157,1,combined_risk,2.570735349,2.239922234,Multiple risk signals increased at the same time
35157,2,behavioral_risk_3week_avg,5,0.645170403,Suspicious behavior stayed elevated over several weeks
35157,3,file_change,-44,0.53583526,File activity changed sharply compared with the previous week
34258,1,total_activity,265,3.549402778,Overall system activity was unusually high
34258,2,combined_risk,2.663307204,2.876103873,Multiple risk signals increased at the same time
34258,3,device_weekly_avg_device_connections_per_day,3.576396406,0.616219093,Daily external device usage was unusually high
28730,1,total_activity,346,3.150363355,Overall system activity was unusually high
28730,2,combined_risk,2.731429638,2.428641068,Multiple risk signals increased at the same time
28730,3,logon_weekly_active_days,-2.122578512,1.146310674,Login activity occurred across many days
39752,1,combined_risk,4.105263158,3.556132814,Multiple risk signals increased at the same time
39752,2,http_weekly_active_days,5.504626106,1.825597385,Web activity occurred across many days
39752,3,behavioral_risk_3week_avg,8,1.400152684,Suspicious behavior stayed elevated over several weeks
3066,1,combined_risk,3.064203061,4.03864902,Multiple risk signals increased at the same time
3066,2,http_weekly_active_days,5.504626106,1.727377403,Web activity occurred across many days
3066,3,behavioral_risk_3week_avg,6,0.399980896,Suspicious behavior stayed elevated over several weeks
16498,1,total_activity,313,2.238992754,Overall system activity was unusually high
16498,2,combined_risk,4.694102277,1.444671726,Multiple risk signals increased at the same time
16498,3,behavioral_risk_3week_avg,9,1.305896793,Suspicious behavior stayed elevated over several weeks
25469,1,combined_risk,3.062709966,4.024580172,Multiple risk signals increased at the same time
25469,2,http_weekly_active_days,5.504626106,1.721340606,Web activity occurred across many days
25469,3,behavioral_risk_3week_avg,6,0.399446193,Suspicious behavior stayed elevated over several weeks
41534,1,combined_risk,3.125233296,3.105346957,Multiple risk signals increased at the same time
41534,2,total_activity,220,1.962945923,Overall system activity was unusually high
41534,3,file_activity,119,1.088818595,File-related activity was unusually high
17282,1,combined_risk,3.640910788,2.279418488,Multiple risk signals increased at the same time
17282,2,total_activity,228,2.147279516,Overall system activity was unusually high
17282,3,file_activity,89,1.227562175,File-related activity was unusually high
1229,1,total_activity,307,2.609986899,Overall system activity was unusually high
1229,2,combined_risk,3.686076894,2.458230403,Multiple risk signals increased at the same time
1229,3,file_activity,203,1.246409968,File-related activity was unusually high
10634,1,total_activity,214,4.049820613,Overall system activity was unusually high
10634,2,combined_risk,2.144830161,0.921827013,Multiple risk signals increased at the same time
10634,3,logon_weekly_active_days,-1.428846822,0.770991778,Login activity occurred across many days
24621,1,total_activity,618,3.176150561,Overall system activity was unusually high
24621,2,combined_risk,2.865248227,1.53283497,Multiple risk signals increased at the same time
24621,3,file_activity,301,1.189483484,File-related activity was unusually high
37815,1,combined_risk,3.166666667,3.075974057,Multiple risk signals increased at the same time
37815,2,total_activity,274,2.509958389,Overall system activity was unusually high
37815,3,file_activity,117,0.980026346,File-related activity was unusually high
21143,1,combined_risk,3.554497947,3.765665509,Multiple risk signals increased at the same time
21143,2,http_weekly_active_days,5.504626106,1.979802445,Web activity occurred across many days
21143,3,behavioral_risk_3week_avg,7,1.388555006,Suspicious behavior stayed elevated over several weeks
40987,1,combined_risk,2.621873834,2.320458692,Multiple risk signals increased at the same time
40987,2,total_activity,203,1.717354696,Overall system activity was unusually high
40987,3,file_activity,133,1.042597555,File-related activity was unusually high
3634,1,combined_risk,2.607689436,2.424130981,Multiple risk signals increased at the same time
3634,2,total_activity,192,2.232515498,Overall system activity was unusually high
3634,3,file_activity,101,1.174501862,File-related activity was unusually high
28723,1,total_activity,366,3.487191836,Overall system activity was unusually high
28723,2,combined_risk,2.745800672,2.715913135,Multiple risk signals increased at the same time
28723,3,file_activity,74,0.684664641,File-related activity was unusually high
24349,1,combined_risk,2.612355356,2.450392198,Multiple risk signals increased at the same time
24349,2,total_activity,175,1.752595231,Overall system activity was unusually high
24349,3,file_activity,56,0.504245063,File-related activity was unusually high
11031,1,combined_risk,2.614594998,2.447568202,Multiple risk signals increased at the same time
11031,2,total_activity,176,1.594425986,Overall system activity was unusually high
11031,3,behavioral_risk_3week_avg,4.666666667,0.591468601,Suspicious behavior stayed elevated over several weeks
19321,1,combined_risk,3.620194102,2.90487351,Multiple risk signals increased at the same time
19321,2,total_activity,184,2.001786952,Overall system activity was unusually high
19321,3,file_activity,60,0.689196882,File-related activity was unusually high
39400,1,combined_risk,3.17058604,3.108651053,Multiple risk signals increased at the same time
39400,2,total_activity,283,2.464150648,Overall system activity was unusually high
39400,3,file_activity,132,1.077257242,File-related activity was unusually high
24650,1,total_activity,352,3.092522737,Overall system activity was unusually high
24650,2,combined_risk,2.707913401,2.57974635,Multiple risk signals increased at the same time
24650,3,file_activity,170,1.170729944,File-related activity was unusually high
38709,1,combined_risk,2.600037327,3.353119293,Multiple risk signals increased at the same time
38709,2,behavioral_risk_3week_avg,5,0.512333149,Suspicious behavior stayed elevated over several weeks
38709,3,total_activity,135,0.487822798,Overall system activity was unusually high
30928,1,combined_risk,3.565696155,3.751988304,Multiple risk signals increased at the same time
30928,2,http_weekly_active_days,5.504626106,1.843794976,Web activity occurred across many days
30928,3,behavioral_risk_3week_avg,7,1.389089709,Suspicious behavior stayed elevated over several weeks
12252,1,combined_risk,4.106569616,2.180648522,Multiple risk signals increased at the same time
12252,2,behavioral_risk_3week_avg,7,1.484405722,Suspicious behavior stayed elevated over several weeks
12252,3,total_activity,175,1.238070578,Overall system activity was unusually high
10226,1,combined_risk,3.069242255,2.82209164,Multiple risk signals increased at the same time
10226,2,file_change,-85,1.209964715,File activity changed sharply compared with the previous week
10226,3,file_weekly_total_file_events,5.756242605,0.984593447,File access activity was unusually high
5535,1,total_activity,269,2.503978621,Overall system activity was unusually high
5535,2,combined_risk,4.659761105,1.590902291,Multiple risk signals increased at the same time
5535,3,behavioral_risk_3week_avg,9.333333333,1.043787518,Suspicious behavior stayed elevated over several weeks
10911,1,combined_risk,3.721911161,3.102524241,Multiple risk signals increased at the same time
10911,2,total_activity,362,2.426857044,Overall system activity was unusually high
10911,3,file_activity,149,1.078235722,File-related activity was unusually high
36590,1,combined_risk,4.038820455,3.576544334,Multiple risk signals increased at the same time
36590,2,http_weekly_active_days,5.504626106,1.682947191,Web activity occurred across many days
36590,3,behavioral_risk_3week_avg,8,1.385570647,Suspicious behavior stayed elevated over several weeks
17978,1,combined_risk,2.616088093,3.164342081,Multiple risk signals increased at the same time
17978,2,total_activity,179,1.734390077,Overall system activity was unusually high
17978,3,behavioral_risk_3week_avg,5,0.518813597,Suspicious behavior stayed elevated over several weeks
3626,1,combined_risk,3.114781635,3.132385105,Multiple risk signals increased at the same time
3626,2,total_activity,205,1.804010114,Overall system activity was unusually high
3626,3,file_activity,114,1.159087475,File-related activity was unusually high
11035,1,combined_risk,2.608435984,2.43982812,Multiple risk signals increased at the same time
11035,2,total_activity,171,1.593954812,Overall system activity was unusually high
11035,3,behavioral_risk_3week_avg,4.666666667,0.591461123,Suspicious behavior stayed elevated over several weeks
31589,1,combined_risk,3.07241508,4.323512737,Multiple risk signals increased at the same time
31589,2,http_weekly_active_days,5.504626106,1.341034067,Web activity occurred across many days
31589,3,total_activity,98,0.617420134,Overall system activity was unusually high
12255,1,combined_risk,4.084919746,2.488448973,Multiple risk signals increased at the same time
12255,2,behavioral_risk_3week_avg,7.666666667,1.395323793,Suspicious behavior stayed elevated over several weeks
12255,3,device_weekly_distinct_pcs_used,11.04996028,1.112137044,External devices were used on multiple computers
6180,1,combined_risk,3.127099664,3.456361495,Multiple risk signals increased at the same time
6180,2,total_activity,181,1.881910503,Overall system activity was unusually high
6180,3,behavioral_risk_3week_avg,6,0.361600042,Suspicious behavior stayed elevated over several weeks
30849,1,combined_risk,2.602276969,2.559283971,Multiple risk signals increased at the same time
30849,2,total_activity,154,1.203658649,Overall system activity was unusually high
30849,3,behavioral_risk_3week_avg,4.666666667,0.596285641,Suspicious behavior stayed elevated over several weeks
9918,1,combined_risk,3.565696155,3.752094898,Multiple risk signals increased at the same time
9918,2,http_weekly_active_days,5.504626106,1.843803319,Web activity occurred across many days
9918,3,behavioral_risk_3week_avg,7,1.389164604,Suspicious behavior stayed elevated over several weeks
40991,1,combined_risk,2.617767824,2.311412462,Multiple risk signals increased at the same time
40991,2,total_activity,196,2.076482959,Overall system activity was unusually high
40991,3,file_activity,131,1.143483148,File-related activity was unusually high
17387,1,total_activity,264,3.247964276,Overall system activity was unusually high
17387,2,combined_risk,3.680851064,2.646068291,Multiple risk signals increased at the same time
17387,3,file_activity,75,0.586717957,File-related activity was unusually high
38572,1,total_activity,154,2.269102411,Overall system activity was unusually high
38572,2,combined_risk,2.102090332,1.354683746,Multiple risk signals increased at the same time
38572,3,behavioral_risk_3week_avg,4.333333333,0.961356938,Suspicious behavior stayed elevated over several weeks
41554,1,combined_risk,3.132885405,3.071821145,Multiple risk signals increased at the same time
41554,2,total_activity,234,2.344161004,Overall system activity was unusually high
41554,3,file_activity,134,1.097126573,File-related activity was unusually high
28725,1,total_activity,284,3.089736094,Overall system activity was unusually high
28725,2,combined_risk,4.190742814,2.533678467,Multiple risk signals increased at the same time
28725,3,file_activity,64,0.696180332,File-related activity was unusually high
40961,1,combined_risk,3.117954461,1.856958885,Multiple risk signals increased at the same time
40961,2,total_activity,196,1.677813284,Overall system activity was unusually high
40961,3,behavioral_risk_3week_avg,7.333333333,1.260974988,Suspicious behavior stayed elevated over several weeks
18056,1,combined_risk,3.579880552,3.586020095,Multiple risk signals increased at the same time
18056,2,http_weekly_active_days,7.407214,2.400369356,Web activity occurred across many days
18056,3,behavioral_risk_3week_avg,7,1.423654759,Suspicious behavior stayed elevated over several weeks
39084,1,combined_risk,3.59929078,3.591516852,Multiple risk signals increased at the same time
39084,2,http_weekly_active_days,5.504626106,2.088830509,Web activity occurred across many days
39084,3,behavioral_risk_3week_avg,7,1.416166645,Suspicious behavior stayed elevated over several weeks
10234,1,combined_risk,2.60339679,2.727118225,Multiple risk signals increased at the same time
10234,2,total_activity,176,1.473165372,Overall system activity was unusually high
10234,3,file_activity,128,1.155040072,File-related activity was unusually high
16140,1,total_activity,427,2.813676904,Overall system activity was unusually high
16140,2,combined_risk,3.288353863,2.050455324,Multiple risk signals increased at the same time
16140,3,behavioral_risk_3week_avg,7,1.263706548,Suspicious behavior stayed elevated over several weeks
40973,1,combined_risk,3.602650243,2.008141496,Multiple risk signals increased at the same time
40973,2,behavioral_risk_3week_avg,7,1.423725997,Suspicious behavior stayed elevated over several weeks
40973,3,file_activity,102,1.060284694,File-related activity was unusually high
17842,1,total_activity,184,2.850297175,Overall system activity was unusually high
17842,2,combined_risk,2.118327734,0.828358967,Multiple risk signals increased at the same time
17842,3,behavioral_risk_3week_avg,4.333333333,0.637031801,Suspicious behavior stayed elevated over several weeks
17759,1,total_activity,237,3.228693756,Overall system activity was unusually high
17759,2,combined_risk,2.676185144,2.286711762,Multiple risk signals increased at the same time
17759,3,behavioral_risk_3week_avg,4.666666667,0.341111483,Suspicious behavior stayed elevated over several weeks
40117,1,total_activity,233,3.27565962,Overall system activity was unusually high
40117,2,combined_risk,2.653228817,2.318702817,Multiple risk signals increased at the same time
40117,3,file_activity,64,0.493632204,File-related activity was unusually high
34881,1,combined_risk,3.555244494,3.765665509,Multiple risk signals increased at the same time
34881,2,http_weekly_active_days,5.504626106,1.985322332,Web activity occurred across many days
34881,3,behavioral_risk_3week_avg,7,1.389089709,Suspicious behavior stayed elevated over several weeks
5399,1,combined_risk,3.06774916,2.758962322,Multiple risk signals increased at the same time
5399,2,file_weekly_total_file_events,3.724664126,1.175113405,File access activity was unusually high
5399,3,file_change,-104,1.139666473,File activity changed sharply compared with the previous week
17758,1,total_activity,268,3.594407787,Overall system activity was unusually high
17758,2,combined_risk,2.699328108,2.288521964,Multiple risk signals increased at the same time
17758,3,behavioral_risk_3week_avg,4.666666667,0.378990605,Suspicious behavior stayed elevated over several weeks
36973,1,combined_risk,3.026129153,3.883282457,Multiple risk signals increased at the same time
36973,2,http_weekly_active_days,7.407214,2.212312834,Web activity occurred across many days
36973,3,email_weekly_active_days,1.101731091,0.438521058,Email activity occurred across many days
14461,1,combined_risk,3.609742441,3.55673481,Multiple risk signals increased at the same time
14461,2,http_weekly_active_days,5.504626106,2.094317863,Web activity occurred across many days
14461,3,behavioral_risk_3week_avg,7,1.416737209,Suspicious behavior stayed elevated over several weeks
17441,1,total_activity,302,3.562455954,Overall system activity was unusually high
17441,2,combined_risk,2.68402389,2.577284076,Multiple risk signals increased at the same time
17441,3,device_weekly_avg_device_connections_per_day,4.014172581,0.560438496,Daily external device usage was unusually high
17261,1,total_activity,274,2.971410465,Overall system activity was unusually high
17261,2,combined_risk,2.670212766,2.342273095,Multiple risk signals increased at the same time
17261,3,file_activity,100,1.366853253,File-related activity was unusually high
5401,1,combined_risk,3.55897723,3.738319901,Multiple risk signals increased at the same time
5401,2,http_weekly_active_days,5.504626106,1.843278066,Web activity occurred across many days
5401,3,behavioral_risk_3week_avg,7,1.389089709,Suspicious behavior stayed elevated over several weeks
3828,1,total_activity,253,2.014395898,Overall system activity was unusually high
3828,2,combined_risk,4.161440836,1.640530358,Multiple risk signals increased at the same time
3828,3,behavioral_risk_3week_avg,8,1.257161074,Suspicious behavior stayed elevated over several weeks
23257,1,combined_risk,2.613288541,3.294861896,Multiple risk signals increased at the same time
23257,2,total_activity,180,1.880291136,Overall system activity was unusually high
23257,3,device_weekly_avg_device_connections_per_day,4.014172581,0.60694338,Daily external device usage was unusually high
16107,1,total_activity,474,2.68642769,Overall system activity was unusually high
16107,2,combined_risk,3.781448302,1.951584968,Multiple risk signals increased at the same time
16107,3,file_activity,208,1.094261967,File-related activity was unusually high
16269,1,combined_risk,3.603770063,3.591516852,Multiple risk signals increased at the same time
16269,2,http_weekly_active_days,5.504626106,2.094309521,Web activity occurred across many days
16269,3,behavioral_risk_3week_avg,7,1.41666448,Suspicious behavior stayed elevated over several weeks
11608,1,combined_risk,3.065696155,3.985703122,Multiple risk signals increased at the same time
11608,2,http_weekly_active_days,5.504626106,1.727272036,Web activity occurred across many days
11608,3,behavioral_risk_3week_avg,6,0.399980896,Suspicious behavior stayed elevated over several weeks
5305,1,combined_risk,2.632138858,2.569224348,Multiple risk signals increased at the same time
5305,2,total_activity,194,2.551076721,Overall system activity was unusually high
5305,3,behavioral_risk_3week_avg,5.333333333,0.386258694,Suspicious behavior stayed elevated over several weeks
20295,1,combined_risk,2.610675625,2.825296983,Multiple risk signals increased at the same time
20295,2,total_activity,196,2.498471468,Overall system activity was unusually high
20295,3,device_weekly_avg_device_connections_per_day,4.561392799,0.834349284,Daily external device usage was unusually high
40086,1,combined_risk,3.135871594,3.044115465,Multiple risk signals increased at the same time
40086,2,total_activity,229,2.268698141,Overall system activity was unusually high
40086,3,file_activity,106,1.094882743,File-related activity was unusually high
34259,1,total_activity,269,3.458668816,Overall system activity was unusually high
34259,2,combined_risk,2.666666667,2.954927398,Multiple risk signals increased at the same time
34259,3,device_ratio,0.56133829,-1.164146644,Device usage was higher than expected compared with other actions
39759,1,total_activity,160,2.352231061,Overall system activity was unusually high
39759,2,combined_risk,2.114594998,1.197678375,Multiple risk signals increased at the same time
39759,3,behavioral_risk_3week_avg,4.333333333,0.837791461,Suspicious behavior stayed elevated over several weeks
17258,1,total_activity,272,2.526620198,Overall system activity was unusually high
17258,2,combined_risk,3.669279582,2.028877415,Multiple risk signals increased at the same time
17258,3,behavioral_risk_3week_avg,7.333333333,1.307962719,Suspicious behavior stayed elevated over several weeks
26214,1,total_activity,245,3.323181223,Overall system activity was unusually high
26214,2,combined_risk,2.664427025,2.957056871,Multiple risk signals increased at the same time
26214,3,email_weekly_emails_with_attachments,2.49359295,0.282900955,Many emails included attachments
38483,1,combined_risk,3.071668533,3.221520184,Multiple risk signals increased at the same time
38483,2,logon_weekly_distinct_pcs,9.704928123,1.327393765,Logins came from multiple computers
38483,3,behavioral_risk_3week_avg,5,0.414155658,Suspicious behavior stayed elevated over several weeks
8236,1,combined_risk,3.111048899,2.914528414,Multiple risk signals increased at the same time
8236,2,total_activity,196,1.790676829,Overall system activity was unusually high
8236,3,file_activity,103,1.090825577,File-related activity was unusually high
40970,1,combined_risk,3.115901456,2.034742527,Multiple risk signals increased at the same time
40970,2,total_activity,192,1.924844918,Overall system activity was unusually high
40970,3,behavioral_risk_3week_avg,6.666666667,1.38978166,Suspicious behavior stayed elevated over several weeks
9861,1,total_activity,253,2.751091481,Overall system activity was unusually high
9861,2,combined_risk,2.649309444,2.700765061,Multiple risk signals increased at the same time
9861,3,file_activity,122,1.170790306,File-related activity was unusually high
4783,1,combined_risk,3.111608809,2.987926043,Multiple risk signals increased at the same time
4783,2,total_activity,199,1.728375669,Overall system activity was unusually high
4783,3,file_activity,112,1.090825577,File-related activity was unusually high
30840,1,combined_risk,3.614594998,2.84914554,Multiple risk signals increased at the same time
30840,2,http_weekly_active_days,5.504626106,1.710875827,Web activity occurred across many days
30840,3,total_activity,177,1.439547975,Overall system activity was unusually high
34399,1,total_activity,227,2.934929953,Overall system activity was unusually high
34399,2,combined_risk,3.150989175,2.705304587,Multiple risk signals increased at the same time
34399,3,file_activity,57,0.67744106,File-related activity was unusually high
16840,1,combined_risk,3.555244494,3.765772103,Multiple risk signals increased at the same time
16840,2,http_weekly_active_days,5.504626106,1.979867945,Web activity occurred across many days
16840,3,behavioral_risk_3week_avg,7,1.388629901,Suspicious behavior stayed elevated over several weeks
32681,1,total_activity,284,3.119782371,Overall system activity was unusually high
32681,2,combined_risk,2.672265771,2.553022803,Multiple risk signals increased at the same time
32681,3,file_activity,121,1.172074073,File-related activity was unusually high
34654,1,combined_risk,3.148189623,3.031972539,Multiple risk signals increased at the same time
34654,2,total_activity,251,2.294198456,Overall system activity was unusually high
34654,3,file_activity,122,1.094517094,File-related activity was unusually high
37182,1,combined_risk,3.610488988,3.556628216,Multiple risk signals increased at the same time
37182,2,http_weekly_active_days,5.504626106,2.088846791,Web activity occurred across many days
