user,email_risk,file_risk,device_risk,sna_risk,explanation,mitre_tactic,mitre_technique,mitre_id
MDH0580,0.00012,0.053496,0.147848,0.095579,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
ABC0174,0.00117,0.050658,0.150082,0.095553,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
IKP0472,0.00018,0.069837,0.121501,0.094133,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
MKW0441,0.0003,0.036209,0.163844,0.092184,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
FFC0891,0.00021,0.082652,0.097977,0.09176,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
KRL0501,0.00105,0.049712,0.13291,0.087541,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
IKR0401,0.00064,0.047648,0.13338,0.086222,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
GKO0078,0.00159,0.081018,0.085039,0.086178,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
CAB0614,0.00141,0.080072,0.086215,0.085991,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
DRR0162,0.00035,0.045498,0.131263,0.083825,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
EDB0714,0.0001,0.04524,0.125853,0.081179,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
CFM0767,0.00034,0.066913,0.087626,0.077964,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
RRC0553,0.00022,0.115421,0.018937,0.077548,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
AKR0057,0.00061,0.046444,0.11362,0.077007,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
TNM0961,0.0001,0.04524,0.115737,0.076843,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
IUB0565,0.00054,0.043261,0.115973,0.076058,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
CAM0681,0.00075,0.065279,0.084333,0.075853,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
CWR0502,0.00128,0.065795,0.081628,0.075366,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
HXL0968,9e-05,0.041025,0.109621,0.071684,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
IBS0836,0.00014,0.053668,0.091037,0.071339,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
RAW0915,0.00087,0.039477,0.102564,0.068264,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
VSS0154,0.0003,0.034833,0.108445,0.067607,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
BTR0403,0.00072,0.044723,0.08892,0.065461,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
JJM0203,0.00035,0.036553,0.100447,0.065245,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
PSF0133,9e-05,0.038617,0.095625,0.064238,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
XHW0498,0.00081,0.033199,0.099506,0.063143,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
PMV0850,0.00013,0.042143,0.087979,0.063104,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
EGD0132,8e-05,0.034317,0.097977,0.062658,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
KJJ0293,0.00013,0.045584,0.080805,0.062093,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
RDT0424,0.00078,0.039907,0.08351,0.060291,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
RSM0277,0.00081,0.033801,0.091743,0.060177,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
DIB0285,0.00046,0.032253,0.091625,0.058957,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
JDC0030,0.00072,0.062269,0.044695,0.057031,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
GZC0735,0.00151,0.026146,0.093155,0.056667,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
IBM0671,0.00081,0.068977,0.033757,0.05643,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
RHL0992,0.00038,0.031822,0.08645,0.056425,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
BBG0325,0.00138,0.030016,0.085745,0.055724,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
RLG0856,0.00133,0.028726,0.086803,0.05537,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
RMW0542,0.00039,0.028382,0.087391,0.05477,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
BEH0615,0.00138,0.02305,0.091743,0.054115,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
RAR0725,8e-05,0.030532,0.081863,0.053478,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
AAF0535,0.00018,0.030704,0.080922,0.053247,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
LCC0819,0.00038,0.028984,0.082334,0.052957,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
IJM0776,0.00017,0.029586,0.081628,0.052871,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
DAL0673,0.00077,0.030274,0.077746,0.052032,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
LOM0086,0.00033,0.037671,0.067043,0.051581,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
KCS0173,0.00125,0.022362,0.08398,0.050284,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
ATE0869,0.00193,0.044896,0.049283,0.0494,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
FKK0055,0.00086,0.05169,0.040461,0.048962,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
PNL0301,7e-05,0.025458,0.076805,0.048257,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
RVF0201,0.0006,0.021674,0.080805,0.048064,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
SBN0971,0.00015,0.049626,0.041167,0.047539,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
CAA0612,0.00139,0.05513,0.029875,0.046852,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
ESR0693,0.00039,0.043777,0.045989,0.046261,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
BWP0202,0.00058,0.053926,0.030228,0.045725,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
JMK0099,0.00082,0.047734,0.032816,0.043282,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
GCS0571,0.00013,0.048508,0.032345,0.043072,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
BQS0525,7e-05,0.004902,0.091978,0.042424,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
AJD0074,0.00075,0.044293,0.03458,0.041926,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
BBS0422,0.0009,0.042917,0.035874,0.041758,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
LDG0459,0.00013,0.041283,0.036697,0.040602,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
JCR0172,0.00152,0.034919,0.039755,0.039046,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
KMW0545,0.00076,0.042401,0.030228,0.038931,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
HAD0246,0.00111,0.027092,0.049871,0.038404,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
SBH0537,0.00125,0.036811,0.032698,0.036971,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
XAA0104,0.00084,0.037585,0.032228,0.036953,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
WBC0192,0.00093,0.035693,0.031287,0.035475,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
BIS0247,0.00073,0.035951,0.027288,0.033778,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
JTS0389,0.00082,0.032339,0.031757,0.033588,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
SJO0209,0.0011,0.031994,0.031052,0.033271,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
NMS0280,0.00036,0.027608,0.036109,0.032299,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
CPG0322,0.00135,0.028984,0.030346,0.031333,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
KBG0549,0.00081,0.032425,0.025406,0.03091,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
QOS0878,0.00047,0.010923,0.055987,0.030882,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
NGF0157,0.00052,0.026232,0.033404,0.030423,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
VSA0230,0.00066,0.033457,0.022818,0.030317,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
MCD0125,0.00038,0.037327,0.015526,0.029321,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
AJH0175,0.00133,0.020298,0.037285,0.029081,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
NGC0058,0.0009,0.017201,0.041167,0.028591,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
NKP0236,0.00073,0.025716,0.028934,0.028341,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
HMM0108,0.00017,0.029672,0.023289,0.027911,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
AMR0318,0.00128,0.019782,0.033051,0.026921,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
CQH0701,0.00014,0.0209,0.031875,0.026306,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
AHD0848,0.00015,0.017115,0.035168,0.025454,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
FOB0756,0.00039,0.014191,0.036344,0.024367,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
GCL0016,0.00086,0.017115,0.031404,0.024327,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
LIM0674,0.00079,0.015911,0.031052,0.023405,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
MGS0974,0.00086,0.013933,0.033286,0.023224,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
EMW0772,0.00032,0.015567,0.030581,0.022674,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
EAH0466,2e-05,0.03079,0.003529,0.020008,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
CCM0136,0.00013,0.011783,0.028111,0.019214,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
